Time,Y,X1,X2,X3,X4,X5,X6,X7,X8,X9
2023-02-09T19:31:00,2.563192,27493.91016,1101.420654,5.459286,14.11061,33.2784,92.271172,33.129032,103.242737,144920.2813
2023-02-09T19:32:00,2.617314,27611.26172,1088.068481,5.454783,14.071644,33.256752,92.128304,33.109547,103.118271,145830.9219
2023-02-09T19:33:00,2.501494,27557.76367,1088.130737,5.457208,14.119267,33.217789,92.007065,33.209126,103.047905,146339.8906
2023-02-09T19:34:00,2.506906,27582.38086,1107.25708,5.45028,14.130092,33.222115,91.890167,33.280571,102.869286,146371.3594
2023-02-09T19:35:00,2.68659,27585.07422,1109.037231,5.45132,14.132258,33.237274,91.72995,33.189644,102.771881,146141.7344
2023-02-09T19:36:00,2.805658,27585.92969,1106.258667,5.451666,14.112774,33.237274,91.574081,33.129032,102.869286,145741.1094
2023-02-09T19:37:00,2.747206,27586.66797,1089.859131,5.449934,14.091125,33.237274,91.530785,33.129032,103.248146,145673.5469
2023-02-09T19:38:00,2.807823,27642.70117,1087.956055,5.449934,14.091125,33.237274,91.574081,33.129032,103.572876,146011.1719
2023-02-09T19:39:00,2.807823,27604.65234,1105.995239,5.448548,14.091125,33.237274,91.652023,33.228611,103.497116,145822.0313
2023-02-09T19:40:00,2.795917,27535.76172,1109.433472,5.45028,14.171227,33.237274,91.72995,33.568497,103.118271,145433.7188
2023-02-09T19:41:00,2.746123,27616.57422,1107.952515,5.448548,14.11061,33.237274,91.838203,33.958172,103.020828,145348.1094
2023-02-09T19:42:00,2.745041,27531.53711,1088.484497,5.448895,14.11061,33.237274,91.929123,34.378159,103.572876,145695.8125
2023-02-09T19:43:00,2.740711,27573.82227,1086.566772,5.450626,14.130092,33.217789,92.06768,34.668255,104.049164,145731.7969
2023-02-09T19:44:00,2.747206,27539.23438,1106.264771,5.450973,14.132258,33.217789,92.227875,34.726704,103.91925,145311.3906
2023-02-09T19:45:00,2.807823,27609.26367,1109.648315,5.45028,14.149576,33.237274,92.327461,34.748352,103.62159,145501.2656
2023-02-09T19:46:00,2.867356,27629.88281,1109.36084,5.450626,14.171227,33.258923,92.388084,34.839279,103.821846,145437.9844
2023-02-09T19:47:00,2.565357,27568.39453,1092.314819,5.450626,14.132258,33.2784,92.530952,34.969173,104.319763,145605.4219
2023-02-09T19:48:00,2.68659,27435.49805,1085.251709,5.450626,14.15174,33.2784,92.69117,35.010303,104.395538,145193.9375
2023-02-09T19:49:00,2.506906,27362.96094,1101.838379,5.452012,14.15174,33.237274,92.82972,34.919376,104.271057,145130.5313
2023-02-09T19:50:00,2.446289,27380.69922,1109.243286,5.453052,14.171227,33.2784,92.907654,34.800308,104.022102,145311.3906
2023-02-09T19:51:00,2.567521,27450.95508,1110.015259,5.452358,14.132258,33.2784,92.968262,34.800308,104.043755,145343.0469
2023-02-09T19:52:00,2.505824,27387.43555,1092.832031,5.451666,14.132258,33.297886,93.007233,34.748352,104.314354,145193.9375
2023-02-09T19:53:00,2.603243,27465.68164,1087.387939,5.45132,14.136589,33.297886,93.007233,34.549183,104.146584,144962.6094
2023-02-09T19:54:00,2.566439,27462.5332,1100.509521,5.452012,14.15174,33.295719,92.929306,34.31971,103.746071,144930.8594
2023-02-09T19:55:00,2.550203,27495.32031,1111.443604,5.453744,14.15174,33.297886,92.82972,34.079403,103.572876,145157.0781
2023-02-09T19:56:00,2.624892,27413.54492,1109.303833,5.453744,14.15174,33.317368,92.686829,33.908386,103.821846,145166.3594
2023-02-09T19:57:00,2.566439,27486.43555,1093.767334,5.453052,14.132258,33.297886,92.630554,33.739517,103.870544,145573.7969
2023-02-09T19:58:00,2.54046,27481.14258,1087.004517,5.452358,14.130092,33.336853,92.569923,33.551182,103.545815,145061.8906
2023-02-09T19:59:00,2.68659,27476.88281,1098.027222,5.453052,14.132258,33.336853,92.42704,33.449429,103.221092,145220.4844
2023-02-09T20:00:00,2.627055,27425.37891,1106.703613,5.451666,14.136589,33.297886,92.327461,33.38015,103.226509,144908.375
2023-02-09T20:01:00,2.565357,27469.56641,1110.047607,5.451666,14.132258,33.258923,92.249527,33.339016,103.372635,145225.625
2023-02-09T20:02:00,2.625973,27516.25391,1104.672974,5.452704,14.132258,33.239437,92.188904,33.230774,103.194031,145162.2344
2023-02-09T20:03:00,2.673601,27462.56641,1088.986206,5.448548,14.095455,33.187477,92.06768,33.109547,102.798935,145007.6719
2023-02-09T20:04:00,2.671435,27421.55078,1085.926147,5.452358,14.112774,33.185314,91.890167,33.040268,102.598679,144817
